id,name,nationality,position,age,birth_year,value,height
21,Martin Aguirregabiria,es ESP,DF,23,1996,4000000,178
390,Oliver Burke,sco SCO,"MF,FW",22,1997,4000000,188
430,VĂ­ctor Camarasa,es ESP,MF,25,1994,4000000,183
737,RubĂ©n Duarte,es ESP,DF,23,1995,4000000,172
770,Rodrigo Ely,br BRA,DF,25,1993,1000000,188
826,Ljubomir Fejsa,rs SRB,MF,30,1988,2000000,183
919,Manu GarcĂ­a,es ESP,MF,33,1986,1000000,183
1027,John Guidetti,se SWE,FW,27,1992,1000000,185
1212,Joselu,es ESP,FW,29,1990,5000000,191
1347,VĂ­ctor Laguardia,es ESP,DF,29,1989,7000000,185
1451,Javi LĂłpez,es ESP,DF,17,2002,80000,180
1475,JosĂ© Luis RodrĂ­guez,pa PAN,FW,21,1998,45000,180
1494,Lisandro MagallĂˇn,ar ARG,DF,25,1993,4000000,185
1500,Abdallahi Mahmoud,mr MTN,MF,19,2000,10000,187
1550,AdriĂˇn MarĂ­n,es ESP,DF,22,1997,65000,181
1551,Guillermo MaripĂˇn,cl CHI,DF,25,1994,11000000,193
1631,Ă‰dgar MĂ©ndez,es ESP,"MF,FW",29,1990,1600000,187
1763,Ximo Navarro,es ESP,DF,29,1990,2000000,176
1871,Fernando Pacheco,es ESP,GK,27,1992,14000000,186
1950,Lucas PĂ©rez,es ESP,FW,30,1988,12000000,180
1982,TomĂˇs Pina Isla,es ESP,MF,31,1987,1500000,185
2005,Pere Pons,es ESP,MF,26,1993,3500000,177
2109,Luis Rioja,es ESP,MF,25,1993,2000000,176
2121,Roberto,es ESP,GK,33,1986,800,192
2201,Borja Sainz,es ESP,"MF,FW",18,2001,30000,174
2337,Antonio Sivera,es ESP,GK,22,1996,1000000,184
2436,Tachi,es ESP,DF,21,1997,800,184
2603,Aleix Vidal,es ESP,MF,29,1989,3000000,177
2633,Wakaso,gh GHA,MF,29,1990,2000000,171
39,Chadrac Akolo,cd COD,"FW,MF",24,1995,1000000,172
53,Haitam Aleesami,no NOR,DF,28,1991,1000000,183
308,Alexis Blin,fr FRA,MF,22,1996,4000000,184
314,Mathieu Bodmer,fr FRA,MF,36,1982,25000,190
415,Arturo Calabresi,it ITA,DF,23,1996,2000000,186
499,AurĂ©lien Chedjou,cm CMR,DF,34,1985,325,184
561,Quentin Cornette,fr FRA,"FW,MF",25,1994,30000,172
672,Fousseni DiabatĂ©,ml MLI,"FW,MF",23,1995,2000000,175
685,Bakaye Dibassy,ml MLI,DF,29,1989,2000000,183
848,Juan Ferney Otero,co COL,"FW,MF",24,1995,2000000,182
947,Saman Ghoddos,ir IRN,FW,25,1993,3000000,177
962,Eddy GnahorĂ©,fr FRA,MF,25,1993,2000000,188
1032,Sehrou Guirassy,fr FRA,FW,23,1996,15000000,187
1041,RĂ©gis Gurtner,fr FRA,GK,32,1986,1000000,182
1176,Christophe Jallet,fr FRA,DF,35,1983,25000,178
1232,GaĂ«l Kakuta,cd COD,"MF,FW",28,1991,2000000,173
1296,Moussa KonatĂ©,sn SEN,FW,26,1993,4000000,183
1348,Jack Lahne,se SWE,FW,17,2001,90000,174
1389,Jordan Lefort,fr FRA,DF,25,1993,1000000,184
1605,Isaac Mbenza,be BEL,FW,23,1996,5000000,188
1632,Stiven Mendoza,co COL,"FW,MF",27,1992,3000000,172
1687,Thomas Monconduit,fr FRA,MF,28,1991,2000000,184
1845,Nicholas Opoku,gh GHA,DF,21,1997,80000,190
2487,Cheick Timite,ci CIV,"MF,FW",21,1997,1000000,177
2727,Bongani Zungu,za RSA,MF,26,1992,1000000,184
33,Rayan AĂŻt Nouri,fr FRA,DF,18,2001,15000000,179
60,Rachid Alioui,ma MAR,FW,27,1992,4000000,186
160,StĂ©phane Bahoken,cm CMR,FW,27,1992,4000000,185
181,Abdoulaye Bamba,ci CIV,DF,29,1990,2000000,182
312,Antonin Bobichon,fr FRA,MF,23,1995,2000000,178
396,Ludovic Butelle,fr FRA,GK,36,1983,25000,188
444,Pierrick Capelle,fr FRA,"MF,DF",32,1987,1000000,181
520,Ibrahim CissĂ©,sn SEN,DF,23,1996,45000,191
723,Souleyman Doumbia,ci CIV,DF,22,1996,1000000,183
894,Angelo Fulgini,fr FRA,MF,22,1996,4000000,183
1243,Wilfried Kanga,fr FRA,FW,21,1998,90000,185
1520,Vincent Manceau,fr FRA,DF,30,1989,1000000,176
1529,Thomas Mangani,fr FRA,MF,32,1987,1000000,183
1624,Farid El Melali,dz ALG,"MF,FW",22,1997,1000000,168
1794,Casimir Ninga,td CHA,"MF,FW",26,1993,2000000,186
1862,ZinĂ©dine Ould Khaled,fr FRA,MF,19,2000,15000,195
1876,Vincent Pajot,fr FRA,MF,28,1990,1000000,180
1909,Mateo PavloviÄ‡,ba BIH,DF,29,1990,1000000,194
1929,ThĂ©o Pellenard,fr FRA,DF,25,1994,1000000,182
1938,Mathias Pereira Lage,pt POR,MF,22,1996,2000000,180
2087,Jeff Reine-AdĂ©laĂŻde,fr FRA,MF,21,1998,22000000,184
2244,Baptiste Santamaria,fr FRA,MF,24,1995,7000000,183
2475,Sada Thioub,sn SEN,"MF,FW",24,1995,2000000,179
2478,Romain Thomas,fr FRA,DF,31,1988,2000000,193
2529,IsmaĂ«l TraorĂ©,ci CIV,DF,32,1986,1000000,184
136,Pierre-Emerick Aubameyang,ga GAB,FW,30,1989,56000000,187
240,HĂ©ctor BellerĂ­n,es ESP,DF,24,1995,32000000,178
477,Dani Ceballos,es ESP,MF,22,1996,32000000,179
490,Calum Chambers,eng ENG,DF,24,1995,14000000,182
1022,MattĂ©o Guendouzi,fr FRA,MF,20,1999,40000000,185
1106,Rob Holding,eng ENG,DF,23,1995,9000000,189
1292,Sead KolaĹˇinac,ba BIH,DF,26,1993,10000000,183
1344,Alexandre Lacazette,fr FRA,FW,28,1991,48000000,176
1401,Bernd Leno,de GER,GK,27,1992,28000000,190
1476,David Luiz,br BRA,DF,32,1987,6000000,189
1506,Ainsley Maitland-Niles,eng ENG,DF,21,1997,14000000,180
1544,Pablo MarĂ­,es ESP,DF,25,1993,4000000,193
1566,Martinelli,br BRA,FW,18,2001,25000000,180
1568,Emiliano MartĂ­nez,ar ARG,GK,26,1992,2000000,195
1677,Henrikh Mkhitaryan,am ARM,FW,30,1989,20000000,177
1688,Nacho Monreal,es ESP,DF,33,1986,3000000,180
1744,Shkodran Mustafi,de GER,DF,27,1992,12000000,184
1772,Reiss Nelson,eng ENG,FW,19,1999,12000000,175
1797,Eddie Nketiah,eng ENG,FW,20,1999,11000000,180
1868,Mesut Ă–zil,de GER,MF,30,1988,17000000,180
1888,Sokratis Papastathopoulos,gr GRE,DF,31,1988,6000000,186
1934,Nicolas PĂ©pĂ©,ci CIV,FW,24,1995,52000000,183
2203,Bukayo Saka,eng ENG,"DF,FW",17,2001,20000000,178
2355,CĂ©dric Soares,pt POR,DF,27,1991,8000000,171
2486,Kieran Tierney,sco SCO,DF,22,1997,20000000,180
2507,Lucas Torreira,uy URU,MF,23,1996,36000000,166
2667,Joe Willock,eng ENG,"MF,FW",19,1999,16000000,186
2679,Granit Xhaka,ch SUI,MF,26,1992,24000000,186
215,Borja BastĂłn,es ESP,"MF,FW",26,1992,3000000,186
628,Keinan Davis,eng ENG,FW,21,1998,2000000,189
731,Danny Drinkwater,eng ENG,MF,29,1990,4000000,177
767,Ahmed Elmohamady,eg EGY,DF,31,1987,2000000,182
778,BjĂ¶rn Engels,be BEL,DF,24,1994,9000000,194
